epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6863,0.74637,2.09421,1.07274,1,0.63961,0.995,0.90735,0.38986,2.25066,0.83632,0.00026,0.00026,0.00026
2,102.704,0.61119,1.04862,0.97257,1,0.99021,0.995,0.86575,0.53513,1.70409,0.90548,0.00052218,0.00052218,0.00052218
3,145.674,0.64687,1.04678,1.00027,0.99752,1,0.995,0.89083,0.47941,1.67174,0.87726,0.00076588,0.00076588,0.00076588
4,189.901,0.59624,1.06168,0.98061,0.99089,1,0.995,0.88371,0.51343,1.36341,0.91669,0.0009911,0.0009911,0.0009911
5,238.258,0.64117,0.94009,0.97016,0.95279,0.93885,0.98915,0.83439,0.5713,1.18362,0.9037,0.00119784,0.00119784,0.00119784
6,281.258,0.65928,0.96788,1.01094,1,0.95324,0.99409,0.87047,0.56207,1.19465,0.93187,0.0013861,0.0013861,0.0013861
7,323.13,0.64418,0.95232,0.97645,0.97711,0.99298,0.99409,0.87258,0.53497,1.12095,0.89638,0.00155588,0.00155588,0.00155588
8,364.584,0.66386,0.90287,0.96432,0.97714,0.99429,0.97659,0.80501,0.59157,1.40982,0.91744,0.001538,0.001538,0.001538
9,411.035,0.62302,0.83607,0.98022,0.93061,1,0.99156,0.87302,0.48852,1.27344,0.88421,0.001472,0.001472,0.001472
10,457.932,0.58715,0.81149,0.99385,0.98883,1,0.995,0.86685,0.55085,0.88617,0.89274,0.001406,0.001406,0.001406
11,501.729,0.60083,0.78248,0.98676,1,0.995,0.995,0.85451,0.57914,0.94916,0.91616,0.00134,0.00134,0.00134
12,544.033,0.575,0.77821,0.95296,0.99389,1,0.995,0.91738,0.43927,0.83941,0.86596,0.001274,0.001274,0.001274
13,588.269,0.60133,0.74677,0.97817,0.97419,1,0.99455,0.91567,0.4402,0.7709,0.85618,0.001208,0.001208,0.001208
14,639.332,0.59298,0.75317,1.0047,0.97542,1,0.98455,0.90708,0.41474,0.70129,0.84077,0.001142,0.001142,0.001142
15,689.618,0.56815,0.70305,0.94251,0.97549,1,0.98023,0.90828,0.42095,0.68771,0.83772,0.001076,0.001076,0.001076
16,734.844,0.51211,0.66701,0.92109,0.99809,1,0.995,0.93448,0.37474,0.62022,0.82263,0.00101,0.00101,0.00101
17,779.743,0.54005,0.64821,0.93251,0.99837,1,0.995,0.92934,0.39754,0.60182,0.83198,0.000944,0.000944,0.000944
18,823.399,0.54048,0.62773,0.93429,0.99751,1,0.995,0.92348,0.38898,0.61205,0.82908,0.000878,0.000878,0.000878
19,866.578,0.5883,0.64687,0.96374,0.99825,1,0.995,0.9419,0.36159,0.58232,0.82375,0.000812,0.000812,0.000812
20,914.637,0.52706,0.59291,0.93482,0.99842,1,0.995,0.93453,0.33887,0.53367,0.82138,0.000746,0.000746,0.000746
21,959.22,0.41282,0.8424,0.82608,0.99871,1,0.995,0.91228,0.37783,0.56991,0.83072,0.00068,0.00068,0.00068
22,1002.81,0.35344,0.73551,0.82874,0.99858,1,0.995,0.95365,0.33393,0.65142,0.8172,0.000614,0.000614,0.000614
23,1046.29,0.39512,0.78796,0.82041,0.99854,1,0.995,0.94634,0.34575,0.62364,0.82157,0.000548,0.000548,0.000548
24,1089.13,0.37722,0.73696,0.85879,0.99877,1,0.995,0.92282,0.36277,0.54531,0.83313,0.000482,0.000482,0.000482
25,1136.9,0.34253,0.67333,0.80303,0.99871,1,0.995,0.95648,0.32005,0.48279,0.81541,0.000416,0.000416,0.000416
26,1176.7,0.31667,0.64726,0.81119,0.99873,1,0.995,0.95628,0.30784,0.48207,0.8136,0.00035,0.00035,0.00035
27,1219.66,0.32816,0.61551,0.81654,0.99879,1,0.995,0.94945,0.31836,0.47708,0.81629,0.000284,0.000284,0.000284
28,1261.15,0.32558,0.6362,0.83519,0.99882,1,0.995,0.94905,0.30531,0.46485,0.81128,0.000218,0.000218,0.000218
29,1312.16,0.316,0.60348,0.81122,0.9988,1,0.995,0.95857,0.28651,0.45859,0.80584,0.000152,0.000152,0.000152
30,1357.5,0.30923,0.61071,0.8088,0.9988,1,0.995,0.96354,0.27934,0.44766,0.80477,8.6e-05,8.6e-05,8.6e-05
